quality_label,alcohol,volatile acidity,citric acid,alcohol_bin,volatile acidity_bin,citric acid_bin
中等,9.4,0.7,0.0,Q1,Q4,Q1
中等,9.8,0.88,0.0,Q2,Q4,Q1
中等,9.8,0.76,0.04,Q2,Q4,Q1
中等,9.8,0.28,0.56,Q2,Q1,Q4
中等,9.4,0.7,0.0,Q1,Q4,Q1
中等,9.4,0.66,0.0,Q1,Q4,Q1
中等,9.4,0.6,0.06,Q1,Q3,Q1
好酒,10.0,0.65,0.0,Q2,Q4,Q1
好酒,9.5,0.58,0.02,Q1,Q3,Q1
中等,10.5,0.5,0.36,Q3,Q2,Q3
中等,9.2,0.58,0.08,Q1,Q3,Q1
中等,10.5,0.5,0.36,Q3,Q2,Q3
中等,9.9,0.615,0.0,Q2,Q3,Q1
中等,9.1,0.61,0.29,Q1,Q3,Q3
中等,9.2,0.62,0.18,Q1,Q3,Q2
中等,9.2,0.62,0.19,Q1,Q3,Q2
好酒,10.5,0.28,0.56,Q3,Q1,Q4
中等,9.3,0.56,0.28,Q1,Q3,Q3
差酒,9.0,0.59,0.08,Q1,Q3,Q1
中等,9.2,0.32,0.51,Q1,Q1,Q4
中等,9.4,0.22,0.48,Q1,Q1,Q4
中等,9.7,0.39,0.31,Q2,Q1,Q3
中等,9.5,0.43,0.21,Q1,Q2,Q2
中等,9.4,0.49,0.11,Q1,Q2,Q2
中等,9.7,0.4,0.14,Q2,Q2,Q2
中等,9.3,0.39,0.16,Q1,Q1,Q2
中等,9.5,0.41,0.24,Q1,Q2,Q2
中等,9.5,0.43,0.21,Q1,Q2,Q2
中等,9.4,0.71,0.0,Q1,Q4,Q1
中等,9.8,0.645,0.0,Q2,Q4,Q1
中等,10.1,0.675,0.07,Q2,Q4,Q1
中等,10.6,0.685,0.0,Q3,Q4,Q1
中等,9.8,0.655,0.12,Q2,Q4,Q2
中等,9.4,0.605,0.12,Q1,Q3,Q2
中等,9.2,0.32,0.25,Q1,Q1,Q2
中等,9.6,0.645,0.0,Q2,Q4,Q1
中等,10.8,0.6,0.14,Q3,Q3,Q2
好酒,9.7,0.38,0.28,Q2,Q1,Q3
差酒,9.8,1.13,0.09,Q2,Q4,Q1
中等,10.5,0.45,0.36,Q3,Q2,Q3
中等,10.5,0.45,0.36,Q3,Q2,Q3
差酒,9.3,0.61,0.3,Q1,Q3,Q3
中等,10.5,0.49,0.2,Q3,Q2,Q2
中等,10.3,0.66,0.22,Q3,Q4,Q2
中等,9.5,0.67,0.02,Q1,Q4,Q1
差酒,13.1,0.52,0.15,Q4,Q2,Q2
中等,9.2,0.935,0.43,Q1,Q4,Q4
中等,9.5,0.29,0.52,Q1,Q1,Q4
中等,9.2,0.4,0.23,Q1,Q2,Q2
